trade_date,open,high,low,close,vol
2022-11-30,45.1,45.66,44.5,45.59,219265.11
2022-12-01,45.35,45.96,45.35,45.57,156942.49
2022-12-02,45.59,45.79,44.11,44.2,200051.74
2022-12-05,44.53,44.77,43.88,44.4,206708.64
2022-12-06,44.47,45.13,43.81,45.1,217808.4
2022-12-07,44.89,45.39,44.79,45.02,131139.25
2022-12-08,44.85,45.15,44.38,44.62,121324.79
2022-12-09,44.62,44.75,43.38,44.0,248959.31
2022-12-12,43.9,44.28,43.03,43.62,207208.57
2022-12-13,43.5,43.8,42.73,43.01,168066.97
2022-12-14,43.01,43.8,42.96,43.18,114822.42
2022-12-15,43.21,43.43,42.8,42.95,112992.3
2022-12-16,42.9,42.9,42.12,42.76,118021.86
2022-12-19,42.7,43.0,41.55,41.78,118335.9
2022-12-20,41.61,42.23,41.45,41.81,76680.29
2022-12-21,41.68,42.07,41.12,41.36,87601.01
2022-12-22,41.55,42.1,40.55,41.58,132137.12
2022-12-23,41.21,41.81,41.13,41.5,106085.77
2022-12-26,41.5,42.42,41.4,42.25,149085.78
2022-12-27,42.25,42.48,41.81,41.97,115978.26
2022-12-28,42.07,42.12,40.95,41.15,177436.81
2022-12-29,41.0,42.68,40.96,42.27,213931.61
2022-12-30,42.3,42.76,42.15,42.28,93330.27
2023-01-03,42.17,44.1,42.1,43.78,253695.84
2023-01-04,43.69,44.1,43.3,43.84,166402.54
2023-01-05,43.68,44.32,43.5,44.14,143591.91
2023-01-06,43.89,44.3,43.58,43.97,120807.21
2023-01-09,43.9,44.18,42.2,42.54,263842.36
2023-01-10,42.54,42.66,41.18,41.81,285582.18
2023-01-11,41.64,42.24,41.21,41.31,164001.68
2023-01-12,42.16,42.42,41.31,41.44,147954.78
2023-01-13,41.53,41.75,41.04,41.72,102935.63
2023-01-16,41.62,43.22,41.62,42.63,283550.23
2023-01-17,42.63,43.66,42.36,43.21,161683.95
2023-01-18,43.3,43.34,42.85,43.16,103813.24
2023-01-19,43.06,43.76,42.98,43.6,124130.76
2023-01-20,43.6,43.96,43.43,43.8,114465.91
2023-01-30,44.2,45.97,44.0,45.29,300858.09
2023-01-31,45.0,45.74,44.89,45.35,179940.23
2023-02-01,45.39,46.0,44.84,45.96,207079.59
2023-02-02,46.19,46.25,44.91,45.28,224464.92
2023-02-03,45.04,46.88,44.69,46.76,375623.89
2023-02-06,46.56,46.66,45.64,45.87,209361.0
2023-02-07,45.97,46.01,45.15,45.44,147481.53
2023-02-08,45.44,45.44,44.41,44.67,167196.84
2023-02-09,44.51,45.62,44.5,45.31,140133.09
2023-02-10,45.2,45.66,44.98,45.0,110563.25
2023-02-13,45.15,45.71,45.0,45.19,128803.96
2023-02-14,45.39,45.39,44.79,44.96,75679.03
